Region_Code,State,Name,Region
1,9,Connecticut,Northeast
1,23,Maine,Northeast
1,25,Massachusetts,Northeast
1,33,New Hampshire,Northeast
1,44,Rhode Island,Northeast
1,50,Vermont,Northeast
1,34,New Jersey,Northeast
1,36,New York,Northeast
1,42,Pennsylvania,Northeast
2,17,Illinois,Midwest
2,18,Indiana,Midwest
2,26,Michigan,Midwest
2,39,Ohio,Midwest
2,55,Wisconsin,Midwest
2,19,Iowa,Midwest
2,20,Kansas,Midwest
2,27,Minnesota,Midwest
2,29,Missouri,Midwest
2,31,Nebraska,Midwest
2,38,North Dakota,Midwest
2,46,South Dakota,Midwest
3,10,Delaware,South
3,11,District of Columbia,South
3,12,Florida,South
3,13,Georgia,South
3,24,Maryland,South
3,37,North Carolina,South
3,45,South Carolina,South
3,51,Virginia,South
3,54,West Virginia,South
3,1,Alabama,South
3,21,Kentucky,South
3,28,Mississippi,South
3,47,Tennessee,South
3,5,Arkansas,South
3,22,Louisiana,South
3,40,Oklahoma,South
3,48,Texas,South
4,4,Arizona,West
4,8,Colorado,West
4,16,Idaho,West
4,30,Montana,West
4,32,Nevada,West
4,35,New Mexico,West
4,49,Utah,West
4,56,Wyoming,West
4,2,Alaska,West
4,6,California,West
4,15,Hawaii,West
4,41,Oregon,West
4,53,Washington,West